test_cost,val_cost,lml,init_kernel,left_data,cv_config,model_config,time
0.05537735289385559,0.05583626489639933,1333.412994151553,"1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:02:11.088376
0.05538747107191138,0.055776966202475,1328.4037711025067,"1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:02:46.555784
7.098319408395902,5.802827661153877,-447091697.20987177,RBF(length_scale=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': RBF(length_scale=1)}",2020-10-19 15:02:48.093370
0.05522086419180654,0.05521407819059576,1284.4421994504642,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1)}",2020-10-19 15:03:04.243718
0.05421118842185344,0.05471378981150218,1313.986388637305,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:03:26.242936
0.05422163083821756,0.0548281980038977,1304.997638465521,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:03:51.818248
0.0542163091794487,0.05467580928583735,1316.767040999553,"1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:04:31.065228
0.0541773035133848,0.0547553003855332,1312.2262078417007,"1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-19 15:05:15.004036
5.780566300653546,5.619624005315729,-489713924.8056052,RBF(length_scale=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': RBF(length_scale=1)}",2020-10-19 15:05:16.594417
0.056433453804907066,0.05482315792895021,1265.6914975042118,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1)}",2020-10-19 15:05:34.142922
