test_cost,val_cost,lml,init_kernel,left_data,cv_config,model_config,time
0.06001526255745103,0.061777235789351244,124.99123876979957,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),171,"{'outer': 2, 'kernels': 5, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-19 18:18:21.819296
0.056500188489217264,0.05700995424174202,140.04888263966993,"0.707**2 * RBF(length_scale=1) + 0.707**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1)",171,"{'outer': 2, 'kernels': 5, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-19 18:18:21.819296
0.05867993192844266,0.05651225542788016,139.48835802436287,"0.574**2 * RBF(length_scale=1) + 0.574**2 * RationalQuadratic(alpha=1, length_scale=1) + 0.574**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)",171,"{'outer': 2, 'kernels': 5, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-19 18:18:21.819296
0.0558108077955754,0.057237551541926515,134.73476895313502,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",171,"{'outer': 2, 'kernels': 5, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-19 18:18:21.819296
0.056596822072002576,0.05716249548830687,139.51034159679892,"1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",171,"{'outer': 2, 'kernels': 5, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-19 18:18:21.819296
